month,views
2025-06,430189
2025-07,3607775
2025-08,3588688
2025-09,5046346
2025-10,8546825
2025-11,7901905
2025-12,8148942
2026-01,9530728
2026-02,11043461
2026-03,12391528
2026-04,14968628
2026-05,19250912
2026-06,70970379
2026-07,52703639
