category,gifs,total_views,median_views,recent_views_per_day_total,recent_views_per_day_median,share_of_recent_traffic_pct,fastest_gif
country,339,47579723,27827,126019.0,199.5,28.9,Happy Birthday Football GIF by OneFootball Heads
reaction,225,78091675,43560,102528.0,251.6,23.5,Accuse He Did It GIF by OneFootball Heads
football-generic,194,122191255,185880,67816.0,164.2,15.6,Celebrate World Cup GIF by OneFootball Heads
player,151,7308253,29966,65447.0,237.9,15.0,World Cup Football GIF by OneFootball Heads
uncategorised,162,3044864,8724,65107.0,244.2,14.9,Sad End Of Summer Sticker by OneFootball Heads
other,10,233602,15063,9100.0,372.5,2.1,Viet Nam Football GIF by OneFootball Heads
